Código da Disciplina;Turma;Nome da Disciplina;Horas Aula;Ofertas;Horário/Local;Professor;Curso
CIN7412;04342A;Marketing da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7501;05342;Arquitetura da Informação e Usabilidade;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7502;05342;Mineração de Texto;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7503;05342;Bancos de Dados;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7504;05342;Gerenciamento de Projetos;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7505;05342;Estágio em Ciência da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7601;06342;Linked Data;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7602;06342;Mídias Sociais;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7603;06342;Empreendedorismo II;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7604;06342;TCC;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7903;06342;Inteligência Competitiva;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7904;06342;Avaliação de Desempenho;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7905;05342;Teoria da Decisão;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7907;02342;Lógica Aplicada I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7913;04342;Lógica Instrumental II;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7917;05342;Visualização da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7917;06342;Visualização da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7925;01342;Introdução a Algoritmos;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7927;05342;Gestão da Informação Pública;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7935;06342;Liderança e Gerência;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7936;03342A;Proteção de Dados Pessoais;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7936;03342C;Proteção de Dados Pessoais;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7938;05342;Segurança da Informação;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7943;01342;Experiência do Usuário (UX) User;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7945;05342;Fontes de Informação Tecnológica;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7946;05342;Pitch de Carreira;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
CIN7950;06342;Programa de Intercâmbio I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
HST7921;03342A;História do Brasil Contemporâneo;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
HST7921;03342C;História do Brasil Contemporâneo;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
INE5111;02342A;Estatística Aplicada I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
INE5111;02342C;Estatística Aplicada I;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
LLV7802;01342C;Leitura e Produção do Texto;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
LLV7802;01342D;Leitura e Produção do Texto;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
MTM3110;01342;Cálculo;N/A;N/A;A definir;A contratar;342 - Ciência da Informação
